,place_name,price_usd_per_m2,surface_total_in_m2,lat,lon,floor,rooms,description,title,avenida,amenities,balcon,gimnasio,SUM,cochera,parrilla,pileta,patio,terraza,lavadero,Belgrano,Nuñez,Palermo,Palermo Hollywood,Recoleta,surface_total_in_m2_2,distancia_obelisco,habitaciones
113571,Recoleta,3666.666666666666,60.0,-34.5914102,-58.3940788,,3.0,En pleno Recoleta.A una cuadra de Av. Las Heras.El living-comedor tiene salida al balcón.Los 2 dormitorios dan al contrafrente.1 baño completo.Toilette con ducha.Cocina con lavadero incorporado.Pisos de alfombra.El edificio es de 15 años aprx.,Pacheco de Melo 1900 - 2 dormitorios al contrafrente,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3600.0,1568.8063462937366,
113574,Palermo,2833.333333333333,90.0,-34.5827371,-58.422328,,3.0,"Seguridad las 24 hs.Servicios centrales (calefacción y agua caliente).El edificio cuenta con solarium en terraza y Salón de usos múltiples en PB.Living comedor (7,2 x 4 m).2 Dormitorios (2,9 x 3,3 m / 2,9 x 4,13 m).Cuarto de servicio o tercer dormitorio (2 x 3,8 m) con baño.Cocina (4,8 x 1,8).Baño principal. Baño con ducha.Pisos de parquet.Baulera (1 x 1,8 m).",Departamento de 3 ambientes con dependencias,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8100.0,4702.9142516626125,
113576,Belgrano,3588.2352941176478,85.0,-34.5738969,-58.4338769,,3.0,"Único duplex en ""Las Cañitas"". Ecológico y sustentable 3 ambientes de 85m2 totales. Se encuentra refaccionado íntegramente a nuevo con materiales de primera calidad! APTO CRÉDITO HIPOTECARIO VENTA DIRECTA, LISTO PARA HABITAR! Edificio Torre con seguridad 24hs. ANTIGÜEDAD EDIFICIO: 30 AÑOS (NO TIENE AMENITIES) REFACCIONADO: HACE 3 MESES Piso 12 al frente. Luz todo el día! Vista abierta orientación al río. Amplios ventanales en todos sus ambientes. La totalidad de las aberturas son de aluminio con DVH (reduce los costos de calefacción y refrigeración). Puerta blindada marca ""Pentágono"" con circuito cerrado de tv incorporado. Iluminación led dimerizable (Bajo consumo). PLANTA BAJA (42m2 totales) -Living comedor con salida a balcón corrido. -Moderna cocina con lavadero incorporado. Instalación de anafe a gas y horno eléctrico (Ambos marca Ariston). Barra desayunadora. -Toilette de recepción (Artefactos FV linea Premium) PLANTA ALTA (43m2) -Dos amplias habitaciones con excelentes placares (frentes espejados e interiores) MEDIDA AMBAS HABITACIONES 3x3,50 -Gran pasillo utilizable como sector de estudio. Placard en pasillo. -Baño completo (Artefactos FV linea Premium) Agua caliente y losa radiante central. EXPENSAS $3.900.- OPCIONAL Cochera fija y cubierta y baulera de buenas dimensiones USD25.000.- Ubicación estratégica! A metros del Subte D ""Estación Ministro Carranza"", Tren ""Mitre"" y múltiples lineas de Colectivos sobre las AV. Luis María Campos y AV. Cabildo ""METROBUS"" (59, 118, 29, 64, 12, 15, 68, 152 y mas). CONSULTAS CAROLINA 1536510851 (CEL/WHATSAPP) ",ÚNICO DUPLEX 3 AMB LAS CAÑITAS. OPCIONAL COCHERA Y BAULERA,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,7225.0,6081.729738147957,
113589,Belgrano,3428.5714285714284,35.0,-34.5644966,-58.4414304,,1.0,"Excelente monoambiente, moderno, muy luminoso. Todo frente con amplio balcón. Muy buena ubicaición.Edificio con gas.Cocina incorporada.Baño completoPlacard.Amenities: Piscina, terraza con parrilla, lavadero en laundry.""edificio con accesibilidad para discapacitados""Tel. Matricula CPI 3423Hector Rodolfo Menendez",VENTA MONOAMBIENTE FRENTE BALCÓN BELGRANO,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1225.0,7051.041357123694,
113591,Barrio Norte,2678.5714285714284,56.0,-34.5955786,-58.3884733,,3.0,Hermoso 3 ambientes ubicado sobre Av Santa Fe Apto Profesional!!! Muy luminoso Multiples medios de transportes OPORTUNIDAD!!!! Espacio Palermo Propiedades Sucursal Alto Palermo ,MUY LUMINOSO 3 AMBIENTES EN UBICADO EN PISO ALTO!!!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136.0,905.0048922059534,
113595,Barrio Norte,2833.333333333333,30.0,-34.5955786,-58.3884733,,1.0,Hermoso monoambienteApto Profesional!!! Muy luminoso Multiples medios de transportes Aclaracion las fotos subidas son momentaneasEl departamento se encuentra en proceso de recicladoOPORTUNIDAD!!!! Espacio Palermo Propiedades Sucursal Alto Palermo ,HERMOSO MONOAMBIENTE EN BARRIO NORTE!!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900.0,905.0048922059534,
113599,Recoleta,2969.9248120300763,133.0,-34.5895459,-58.39736360000001,,4.0,"Muy buen departamento que consta de living comedor, 3 dormitorios, baño completo y toilette con posibilidad de agregar ducha. Living intimo. Cocina. Lavadero y dependencia de servicio.Luminoso, ambientes amplios. Buena categoria de edificio.Matriculado:Martín LottiCPI 2989",Edificio racionalista - 3 dormiotorios,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,17689.0,1945.1549889119344,
113604,Nuñez,2750.0,60.0,-34.5383333,-58.465337,,2.0,"APTO CREDITO Muy linda propiedad en Núñez, 1/2 cuadra de Libertador. Balcon con blindex y patio. Persianas electricas, losa radiante por caldera dual Rocca, aire acondicionado. Amplia cocina con lugar para lavarropas. 10 años de antigüedad. 66 m totales 55 cubiertos 14 de patioexpensas 1800 con agua incluidaabl 400“Las medidas son aproximadas y orientativas. Las medidas exactas surgirían del título de propiedad""“Venta supeditada al cumplimiento por parte del propietario de los requisitos de la Resolución General 2371 de la AFIP.”",IMPECABLE DPTO AL FRENTE CON PATIO Y BALCÓN CON BLINDEX,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3600.0,10082.757008940433,
113659,Barrio Norte,3581.395348837209,43.0,-34.599364092399995,-58.3890306971,,3.0,"CODIGO: 3410-233 ubicado en: Av Córdoba 1500 -  Publicado por: VAIRA PROPIEDADES. El precio es de USD 154000 null. Departamento en Venta en Barrio Norte 3 ambientes 43 m2 – Córdoba 1500  Departamento 3 ambientes reciclado a nuevo, impecable, en Barrio Norte. Apto profesional. Súper luminoso cada cuarto cuenta con un placard y una ventana. Tiene baño completo, y cocina completa con artefactos a gas. Es un 8vo piso en un edificio de 12 pisos.  Características: Localidad: Capital Federal Barrio: Barrio Norte (San Nicolás / Recoleta) Ambientes: 3 Dormitorios: 2 Baños: 1 Estado: Refaccionado a nuevo Antigüedad: 50 Superficie cubierta: 43 m2 Superficie total: 43 m2 Ubicación: Contrafrente Piso: 8 Pisos: 12 Unidades en el piso: 4 Apto crédito: No Apto profesional: Sí Expensas: $2.400  Ambientes: Baño Cocina Dormitorios Living-Comedor  Comodidades y amenities: Calefacción individual Internet / TV por cable / Teléfono  Transportes cercanos: Colectivos: 5, 6, 10, 12, 17, 23, 24, 26, 29, 37, 39, 59, 60, 75, 99, 101, 102, 106, 108, 109, 111, 115, 124, 132, 140, 150, 152, 180 Subtes: CALLAO (Línea D), TRIBUNALES (Línea D) . Publicado a través de Mapaprop",Departamento en Venta en Barrio Norte 3 ambientes 43 m2 – Córdoba 1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849.0,869.4745446229834,
113832,Palermo,3552.631578947369,76.0,-34.596621899999995,-58.4156548,,3.0,"3 Ambientes , Frente con Balcón , 2 Dormitorios al Frente , Cocina Independiente , Baño completo , Toilette , Lavadero , Calefacción por radiadores , Pisos de Parquet . Cochera y Baulera . Edificio con Piscina , Sector Parquizado , Parrilla Muy Buena zona y acceso a medios de tranportes NO APTO CREDITO INMOBILIARIA BIRAGNET Mario Bravo 1202 esq. Gorriti - Palermo Ciudad Autonoma de Buenos Aires   Aviso publicado por Pixel Inmobiliario (Servicio de Páginas Web para Inmobiliarias).","3 Ambientes ,Palermo,  Frente con Balcón , Muy Luminoso, Cochera, Baulera  , Edificio con Piscina ",1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,5776.0,3819.220273352497,
113842,Palermo,3305.555555555556,36.0,-34.5890569,-58.422386,,2.0,"2 Ambientes , Lateral abierto , Living de 5 x 3 , Dormitorio de 3 x 3 con placard , Cocina amplia de 4 x 2.8 , Pisos de Parquet . Luminoso Muy Buena zona y acceso a medios de transportes INMOBILIARIA BIRAGNET Mario Bravo 1202 esq. Gorriti - Palermo Ciudad Autonoma de Buenos Aires   Aviso publicado por Pixel Inmobiliario (Servicio de Páginas Web para Inmobiliarias).","2 Ambientes , Palermo , Lateral Abierto , Muy Luminoso , Muy Buena Zona ",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1296.0,4626.570765406129,
113863,Palermo,2194.444444444445,180.0,-34.5955967,-58.413819200000006,,4.0,"Duplex de 4 Ambientes al frente con Balcón terraza, Dependencia de servicio, mas Unidad complementaria monoambiente con acceso independiente y cochera fija cubierta doble con espacio de guardado. Muy Luminoso 1º Planta : Living de 7.2 x 3.6 , Comedor 3 x 3 , Cocina de 3.75 x 2.75 , Habitación de servicio de 2 x 2 ; lavadero , Balcón Aterrazado , Toilette , Baño de servicio , escalera de acceso a la segunda planta . 2º Planta: Dormitorio principal en suite con vestidor , 2º Dormitorio de 3.2 x 3.1 , 3º Dormitorio de 3 x 2.45 , Baño en suite y Baño completo , Balcón . Monoambiente con entrada independiente de 6 x 4.84 x 3.15, Toilette Cochera en planta baja para dos coches, espacio de guardado LAS MEDIDAS SON APROXIMADAS Y DIFIEREN DE LO MANIFIESTO EN LA ESCRITURA INMOBILIARIA BIRAGNET Mario Bravo 1202 esq. Gorriti - Palermo Ciudad Autonoma de Buenos Aires   Aviso publicado por Pixel Inmobiliario (Servicio de Páginas Web para Inmobiliarias).",Duplex 4 Ambientes C/Dep. + Unidad Complementaria Monoambiente + Cochera Doble. MUY LUMINOSO,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,32400.0,3623.4383821847387,
113923,Barrio Norte,2272.7272727272725,44.0,-34.587338700000004,-58.38973370000001,,2.0,"-2 ambientes internos: dromitorio, baño, living comedor y cocina en luminoso apto de 44m2, y 33 m2 cubiertos-piso de parquet-baulera ", M T de Alvear y Ayacucho: 2 ambientes internos con patio luminoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1936.0,1321.7787392912774,
113929,Nuñez,3140.0,110.0,-34.542750299999994,-58.46014520000001,,3.0,"En una ubicación privilegiada del barrio de NUÑEZ, sobre la esquina de CRISOLOGO LARRALDE Y CIUDAD DE LA PAZ, próxima a la Av. Cabildo con su intenso sector comercial, amplias vías de acceso y medios de transportes, se erigirá la nueva y exclusiva torre de vanguardista diseño proyectada por el estudio CM Emprendimientos en conjunto con ZENTRUM Emprendimientos.Zuker Servicios Inmobiliarios Sucursal NuñezRamallo 2347  CABATEL : 4-702-8100- ",Larralde 2491 núñez nuevo emprendimiento,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12100.0,9449.90576599479,
113942,Palermo,4585.987261146497,157.0,-34.5751208,-58.42380970000001,,4.0,"Excelente departamento ubicado en una de las mejores zonas del Barrio de Palermo. El mismo cuenta con palier privado, un amplio living comedor, cocina completa con comedor diario, lavadero, dependencia de servicio con baño propio, 3 amplios cuartos de los cuales el principal es en suite con vestidor, los otros 2 cuartos comparten un mismo baño completo. El edificio posee seguridad 24hs, pileta, gym, sauna, sum, parilla, baulera fija y una cochera fija cubierta. DIGNO DE VER!!!! FGK PROPIEDADES./ ", Sinclair 3000 - Palermo - Capital Federal,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,24649.0,4993.491818274552,
113944,Nuñez,2317.0731707317073,41.0,-34.552294121100005,-58.450188840100004,,2.0,"Departamento tipo PH de 2 ambientes al frente con Balcon, EXCELENTE UBICACION, living comedor, cocina, baño completo reciclado, dormitorio con salida a balcón, luminoso 1 er piso por escalera. BAJAS EXPENSAS.Apto Credito. Zuker Servicios Inmobiliarios Sucursal La Imprenta Olleros 1786 , CABA tel. 4-778-9699- rotativas ",Monroe 1400 tipo PH ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1681.0,8213.208055789002,
113945,Belgrano,2928.5714285714284,70.0,-34.565647799999994,-58.4699588,,3.0,"Departamento de 3 ambientes ubicado en un muy lindo entorno Living comedor al frente con salida a Balcon corrido, buena vista, 2 dormitorios 1 baño completo cocina en L2 Cocheras fijas y cubiertaApto Credito.Si necesita Vender su propiedad consulte con Nosotros.Zuker Servicios Inmobiliarios Sucursal La Imprenta Olleros 1786 , CABA tel. 4-778-9699- rotativas ",Blanco Encalada 3400,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4900.0,10093.586816676456,
113946,Belgrano,3764.150943396226,53.0,-34.568018200000004,-58.4529948,,2.0,"Excelente torre de categoría, 2 ambientes a estrenar, living comedor con salida a balcón, toillete de recepción y dormitorio en suite, cocina integrada,La torre cuenta con GYM, parrilla, sauna, laundry, solarium, área de relax.Zuker Servicios Inmobiliarios Sucursal La Imprenta Olleros 1786 , CABA tel. 4-778-9699- rotativas ",Virrey olaguer y feliu 2500,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,2809.0,8224.954987570949,
113947,Palermo,5500.0,90.0,-34.574274100000004,-58.4230905,,3.0,"Espectacular torre de maxima categoria !! Sinclair entre Demaria y cerviño. con vigilancia 24 hs conservicio de recepcion conserjeria, gym,parrilla, laundry, piscina de 22x4, SUM, vestuario hombre y mujerDepartamento 3 ambientes con cochera !!!!!Zuker Servicios Inmobiliarios Sucursal La Imprenta Olleros 1786 , CABA tel. 4-778-9699- rotativas ",Sinclair 3000,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,8100.0,4935.156122669292,
113948,Palermo,5333.333333333333,90.0,-34.574274100000004,-58.4230905,,3.0,"Espectacular torre de máxima categoría! Sinclair entre Demaria y cerviño. con vigilancia 24 hs con servicio de recepción conserjería, gym,parrilla, laundry, piscina de 22x4, SUM, vestuario hombre y mujerDepartamento 3 ambientes con cochera. ( EL DEPARTAMENTO SE VENDE CON RENTA )Zuker Servicios Inmobiliarios Sucursal La Imprenta Olleros 1786 , CABA tel. 4-778-9699- rotativas ",Sinclair 3000,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,8100.0,4935.156122669292,
113954,Nuñez,3202.7272727272725,110.0,-34.542750299999994,-58.46014520000001,,3.0,"En una ubicación privilegiada del barrio de NUÑEZ, sobre la esquina de CRISOLOGO LARRALDE Y CIUDAD DE LA PAZ, próxima a la Av. Cabildo con su intenso sector comercial, amplias vías de acceso y medios de transportes, se erigirá la nueva y exclusiva torre de vanguardista diseño proyectada por el estudio CM Emprendimientos en conjunto con ZENTRUM Emprendimientos.Zuker Servicios Inmobiliarios Sucursal NuñezRamallo 2347  CABATEL : 4-702-8100- ",Larralde 2491 núñez nuevo emprendimiento,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12100.0,9449.90576599479,
113955,Belgrano,2200.0,50.0,-34.568124299999994,-58.47143199999999,,3.0,"APTO CREDITO 3 ambientes de 50m2 en edificio torre. Muy luminoso, vista abierta a jardines, pisos de parquet en muy buen estado, placares. Cocina con lavadero separado.",Oportunidad 3 amb en Belgrano R,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2500.0,10223.264401033395,
113956,Belgrano,2283.0188679245284,106.0,-34.557176,-58.4578019,,3.0,"INMEJORABLE UBICACIÓN!Monroe y Cuba, a dos cuadras de Av. Cabildo.USD 242.000.-Expensas: $4.200.-3 ambientes con dependencia - 106 m2Todos los ambientes tienen luz natural2 balcones aterrazados2 baños (uno de ellos ubicado en la dependencia) y toilette Amplia cocina comedor independiente, reciclada a nuevo Lavadero super amplio e independienteBaulera independiente y baulera internaOCUPACIÓN INMEDIATAZuker Servicios Inmobiliarios Sucursal La Imprenta Olleros 1786 , CABA tel. 4-778-9699- rotativas ",Monroe y Cuba,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,11236.0,8916.406283711714,
113962,Palermo Hollywood,3489.666666666666,108.0,-34.5842942,-58.4364688,,3.0,"Unidad de 108 metros totales.El edificio va a contar con piscina solarium, cava de vinos y jardin. Zuker Servicios Inmobiliarios Sucursal La Imprenta Olleros 1786 , CABA tel. 4-778-9699- rotativas ",Arevalo 1700  venta en pozo palermo,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,11664.0,6219.599768043994,
113963,Palermo Hollywood,3513.1304347826085,92.0,-34.5842942,-58.4364688,,3.0,"Unidad  de 92 m2 con cochera Baulera .El edificio va a contar con piscina solárium, cava de vinos y jardín. Zuker Servicios Inmobiliarios Sucursal La Imprenta Olleros 1786 , CABA tel. 4-778-9699- rotativas ",Arevalo  1700 venta en pozo palermo,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,8464.0,6219.599768043994,
113964,Palermo Hollywood,3717.176470588234,102.0,-34.5842942,-58.4364688,,3.0,"Unidad  de 102 m2 con cochera Baulera .El edificio va a contar con piscina solárium, cava de vinos y jardín. Zuker Servicios Inmobiliarios Sucursal La Imprenta Olleros 1786 , CABA tel. 4-778-9699- rotativas ",Arevalo  1700 venta en pozo palermo,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,10404.0,6219.599768043994,
113965,Palermo Hollywood,3799.255813953489,86.0,-34.5842942,-58.4364688,,3.0,"Unidad  de 86 m2 con cochera Baulera .El edificio va a contar con piscina solárium, cava de vinos y jardín. Zuker Servicios Inmobiliarios Sucursal La Imprenta Olleros 1786 , CABA tel. 4-778-9699- rotativas ",Arevalo  1700 venta en pozo palermo,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,7396.0,6219.599768043994,
113968,Recoleta,2427.184466019417,309.0,-34.5911195,-58.39292929999999,,5.0,"Las Heras 1900 – Recoleta Venta: U$S 750.000 (1 cochera y 1 baulera incluidas) Excelente departamento en triplex de 5 ambientes de 322 m2, en Piso 13º, 14º y en piso 15º terraza, parrilla, bacha con mesada y gran espacio para chicos, para pelopincho, cama elástica, tobogán, mucho espacio libre de esparcimiento para los chicos en el mismo departamento, etc, etc. 4 dormitorios, 2 dormitorios en suite, uno de ellos con vestidor e hidromasaje 4 baños completos con bañera y uno con hidromasaje 1 toilette de recepcion Living-comedor en L, mas estar muy amplio y cómodo Escritorio amplio junto al living Cocina muy luminosa con comedor diario Dependencia de servicio con baño completo Lavadero grande con amplio espacio Orientación Este Ubicación Frente Calefacción centralizada, por losa radiante 11 equipos de aire acondicionado en todo el departamento Balcon terraza en piso 13, con salida desde el living-comedor Terraza piso 14 con salida desde los dormitorios desde los 2 principales dormitorios Terraza, quincho, pileta y mesada, junto a la parrilla, salida desde un estar cubierto de 8.78 m2 Muy buena luminosidad y excelente ventilación, aire y luz hacia el este, norte y oeste Expensas: $ 16.000 ABL: $ 2.000 Antigüedad 18 años 1 cochera fija del departamento en 1° subsuelo 1 cochera fija alquilada en 2° subsuelo, alquiler $ 1.600 1 baulera muy comoda y amplia Seguridad 24 hrs Sup. Total: 322.54 m2 Sup. Cubiertos: 225.86 m2 Sup. Descubierta: 83.55 m2 Venta: U$S 750.000 (1 cochera y 1 baulera incluidas) Nota: Los valores y condiciones de venta, están sujetas a modificaciones por parte del propietario. ","Departamento, Triplex, venta, 5 amb, 4 dorm, Recoleta",1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,95481.0,1464.7886165980178,
